SUBNO,TRT,INTC1C5,INTC2,INTC3,INTC4,AET1,AET2,AET3,AET4,AET5,UET1,UET2,UET3,UET4,UET5,AHT1,AHT2,AHT3,AHT4,AHT5,UHT1,UHT2,UHT3,UHT4,UHT5,ASC1,ASC2,ASC3,ASC4,ASC5,USC1,USC2,USC3,USC4,USC5,EF1,EF2,EF3,EF4,EF5,HF1,HF2,HF3,HF4,HF5
3,t3,5,5,6,6,1719.14,1722.45,1767.85,1707.28,1698.73,1823.98,1798.63,1815.17,1750.79,1802.93,1823.61,1803.12,1811.25,1855.74,1873.21,1906.65,1863.84,1839.35,1747.63,1873.21,357.12,111.02,105.13,253.02,246.48,409.09,81.34,93.98,160.67,189.79,475.27,129,245.6,60.95,83.17,628.78,663.34,633.12,538.92,524.52
3,r3,5.5,5.5,7,7,1744.03,1719.59,1772.27,1706.61,1735.94,1818.45,1797.74,1813.09,1747.11,1802.1,1868.7,1814.24,1867.53,1867.2,1892.01,1899.92,1868.95,1829.49,1738.76,1892.01,390.17,104.05,102.21,233.02,270.19,429.44,78.67,94.23,140.85,245.59,310.62,217.82,162.42,200.49,174.81,529.6,594.53,604.78,521.99,507.03
3,t4,NA,6.5,NA,8,NA,1716.07,NA,1706.03,NA,NA,1797.97,NA,1745.09,NA,NA,1799.18,NA,1849.89,NA,NA,1866.49,NA,1740.27,NA,NA,102.18,NA,225.35,NA,NA,76.74,NA,136.33,NA,NA,111.18,NA,68.2,NA,NA,673.39,NA,488.79,NA
3,r4,NA,7,NA,9,NA,1705.22,NA,1698.48,NA,NA,1796.11,NA,1743.61,NA,NA,1806.43,NA,1850.04,NA,NA,1860.82,NA,1726.73,NA,NA,103.29,NA,197.25,NA,NA,76.51,NA,124.47,NA,NA,205.33,NA,211.93,NA,NA,559.11,NA,522.43,NA
3,t5,NA,8,NA,10,NA,1700.71,NA,1697.68,NA,NA,1795.73,NA,1740,NA,NA,1790.35,NA,1850.11,NA,NA,1859.86,NA,1749.39,NA,NA,114.9,NA,177.27,NA,NA,83.46,NA,118.9,NA,NA,121.45,NA,64.03,NA,NA,615.91,NA,522.74,NA
3,r4,NA,8.5,NA,11,NA,1695.33,NA,1699.07,NA,NA,1792.55,NA,1739.03,NA,NA,1793.37,NA,1866.01,NA,NA,1859.67,NA,1747.32,NA,NA,116.77,NA,159.86,NA,NA,85.11,NA,116.67,NA,NA,151.91,NA,211.38,NA,NA,550.66,NA,528.94,NA
3,t6,NA,9.5,NA,12,NA,1691.19,NA,1700.16,NA,NA,1793.45,NA,1734.02,NA,NA,1781.7,NA,1861.05,NA,NA,1859.45,NA,1757.96,NA,NA,116.68,NA,153.43,NA,NA,85.82,NA,111.47,NA,NA,84.65,NA,70.77,NA,NA,654.16,NA,531.52,NA
3,r6,NA,10,NA,13,NA,1718.78,NA,1698.94,NA,NA,1792.28,NA,1741.95,NA,NA,1832.98,NA,1879.67,NA,NA,1870.16,NA,1782.71,NA,NA,110.22,NA,164.76,NA,NA,84.38,NA,118.75,NA,NA,178.6,NA,178.49,NA,NA,575.61,NA,513.41,NA
3,p1,6.5,11,8,14,1761.71,1735.7,1779.8,1728.74,1760.85,1816.31,1788.72,1811.07,1766.51,1800.43,1917.26,1873.65,1905.11,1912.32,1914.12,1904.36,1869.37,1825.88,1841.37,1914.12,221.74,94.16,89.63,122.41,204.21,251.52,72.21,84.45,103.33,162.47,290.66,92.69,144.51,175.36,164.14,555.76,524.36,588.62,507.09,486.94
3,p2,11.5,16,13,19,1764.37,1736.63,1776.3,1735.89,1759.36,1814.11,1782.11,1806.93,1772.38,1798.66,1919.22,1874.71,1899.52,1903.08,1926.31,1902.55,1863.98,1818.08,1834.31,1926.31,188.35,79.4,73.71,127.4,170.55,208.84,64.31,79.19,85.31,134.26,274.05,92.55,133.04,153.74,154.52,539.58,503.6,541.02,475.14,510.09
3,p3,16.5,21,18,24,1764,1731.76,1769.9,1736.33,1756.63,1808.35,1776.49,1801.05,1768.73,1794.44,1901.87,1868.75,1873.28,1869.23,1902.91,1891.86,1851.66,1789.83,1815.06,1902.91,144.1,74.56,70.43,108.69,123.87,159.3,61.69,74.73,80.1,78.85,250.64,93.11,108.38,154.21,133.42,471.58,433.58,434.88,415.01,437.99
3,p4,21.5,26,23,29,1760.22,1726.68,1763.09,1736.34,1752.16,1805.52,1769.39,1795.79,1769.29,1788.16,1876.85,1843.48,1855.39,1856.65,1876.29,1881.21,1828.25,1781.67,1807.46,1876.29,123.7,70.43,67.69,96.97,106.01,137.43,58.7,71.29,76.97,65.97,226.99,86.63,100.97,141.05,127.5,397.88,398.8,424.81,408.29,392.88
3,p5,26.5,31,28,34,1755.06,1722.89,1756.76,1733.21,1747.1,1798.6,1766.51,1790.09,1768.52,1783.49,1865.96,1865.25,1841.61,1857.79,1866.44,1859.72,1846.49,1772.99,1809.89,1866.44,111.77,70.35,64.9,90.94,95.51,125.24,59.51,68.79,74.68,60.74,222.59,87.25,99.39,126.69,127.68,347.57,494.26,425.27,482.71,410.72
3,p6,31.5,36,33,39,1750.84,1719.48,1750.07,1729.35,1742.51,1792.71,1765.7,1785.62,1767.01,1780.87,1866.93,1888.01,1832.79,1861.54,1863.88,1850.72,1865.3,1775.17,1807.52,1863.88,102.08,73.55,63.07,86.92,90.12,116.77,63.97,67.73,73.67,58.28,230.97,95.58,100.38,127.07,126.92,389.59,497.38,424.5,411.35,412.64
3,p7,36.5,41,38,44,1750.42,1715.22,1744.01,1725.94,1739.18,1790.75,1760.49,1780.49,1766.07,1780.77,1875.25,1857.92,1822.43,1862.93,1875.63,1857.05,1835.76,1767.89,1808.62,1875.63,97.27,64.63,61.61,84.35,87.48,112.41,60.01,67.07,72.74,57.75,202.87,86.78,94.6,127.3,139.25,363.3,368.07,382.34,472.35,430.65
3,p8,41.5,46,43,49,1747.15,1711.42,1738.58,1723.81,1734.88,1789.05,1755.06,1777.41,1765.19,1778.59,1891.46,1836.6,1819.29,1879.32,1870.35,1859.05,1819.86,1774,1823.03,1870.35,103.54,61.65,60.64,82.85,84.41,122.62,57.42,66.61,73.41,56.98,224.41,79.34,105.43,128.51,128.76,446.93,358.79,443.57,485.9,393.7
